id,name,adm1_code,varA,varB,varC,varD,varE
1,Hennepin,27053,1281565,68.3,89399,53.5,4.4
2,Ramsey,27123,552352,66.1,75113,46.8,6
3,Dakota,27037,439882,68.7,97501,45.6,4
4,Anoka,27003,363887,66.5,"92,133",30.5,4.8
5,Washington,27163,267568,67.7,106509,48,4
6,Saint Louis,27137,200231,57.8,62704,32.3,4.1
7,Olmsted,27019,162847,66.2,86976,48.5,3.9
8,Stearns,27145,158292,66.6,71880,30.5,3.9
9,Scott,27139,150928,70.3,113311,42.8,3.5
10,Wright,27171,141337,70,93602,32.7,3.5
11,Carver,27019,106922,72,116158,49.2,2.4
12,Sherburne,27141,97183,69.9,96889,31.1,3.9
13,Blue Earth,27013,69112,66.4,68104,35.6,3.3
14,Crow Wing,27035,66123,55.4,66568,32.6,4.2
15,Rice,27131,67097,59.5,76319,31.7,4.9
